2025-09-08 16:47:04 JST - INFO - 損失: Conv=38.662, Seq=54.998, Dist=0.013, 総計=93.673
2025-09-08 16:47:05 JST - INFO - 損失: Conv=37.931, Seq=55.912, Dist=0.025, 総計=93.867
2025-09-08 16:47:05 JST - INFO - 損失: Conv=35.269, Seq=50.322, Dist=0.012, 総計=85.604
2025-09-08 16:47:05 JST - INFO - 損失: Conv=32.345, Seq=48.001, Dist=0.017, 総計=80.363
2025-09-08 16:47:06 JST - INFO - 損失: Conv=32.961, Seq=48.641, Dist=0.023, 総計=81.626
2025-09-08 16:47:06 JST - INFO - 損失: Conv=31.328, Seq=45.578, Dist=0.020, 総計=76.926
2025-09-08 16:47:07 JST - INFO - 損失: Conv=35.713, Seq=52.358, Dist=0.018, 総計=88.089
2025-09-08 16:47:07 JST - INFO - 損失: Conv=26.634, Seq=39.019, Dist=0.022, 総計=65.675
2025-09-08 16:47:07 JST - INFO - 損失: Conv=39.467, Seq=58.570, Dist=0.017, 総計=98.054
2025-09-08 16:47:08 JST - INFO - 損失: Conv=37.326, Seq=53.000, Dist=0.031, 総計=90.358
2025-09-08 16:47:08 JST - INFO - 損失: Conv=38.158, Seq=56.575, Dist=0.017, 総計=94.750
2025-09-08 16:47:09 JST - INFO - 損失: Conv=35.263, Seq=51.167, Dist=0.028, 総計=86.458
2025-09-08 16:47:09 JST - INFO - 損失: Conv=42.502, Seq=63.636, Dist=0.021, 総計=106.159
2025-09-08 16:47:10 JST - INFO - 損失: Conv=31.264, Seq=45.912, Dist=0.013, 総計=77.189
2025-09-08 16:47:10 JST - INFO - 損失: Conv=41.472, Seq=62.267, Dist=0.024, 総計=103.763
2025-09-08 16:47:11 JST - INFO - 損失: Conv=40.365, Seq=60.991, Dist=0.022, 総計=101.379
2025-09-08 16:47:11 JST - INFO - 損失: Conv=35.925, Seq=49.474, Dist=0.035, 総計=85.434
2025-09-08 16:47:11 JST - INFO - 損失: Conv=31.380, Seq=48.337, Dist=0.016, 総計=79.733
2025-09-08 16:47:12 JST - INFO - 損失: Conv=33.942, Seq=47.925, Dist=0.028, 総計=81.896
2025-09-08 16:47:12 JST - INFO - 損失: Conv=47.006, Seq=59.969, Dist=0.047, 総計=107.022
2025-09-08 16:47:13 JST - INFO - 損失: Conv=36.429, Seq=53.001, Dist=0.029, 総計=89.460
2025-09-08 16:47:13 JST - INFO - 損失: Conv=35.513, Seq=47.299, Dist=0.040, 総計=82.852
2025-09-08 16:47:13 JST - INFO - 損失: Conv=40.222, Seq=59.281, Dist=0.019, 総計=99.522
2025-09-08 16:47:14 JST - INFO - 損失: Conv=42.659, Seq=59.567, Dist=0.033, 総計=102.260
2025-09-08 16:47:14 JST - INFO - 損失: Conv=39.284, Seq=49.730, Dist=0.051, 総計=89.065
2025-09-08 16:47:15 JST - INFO - 損失: Conv=33.911, Seq=50.185, Dist=0.031, 総計=84.127
2025-09-08 16:47:15 JST - INFO - 損失: Conv=23.095, Seq=32.324, Dist=0.012, 総計=55.432
2025-09-08 16:47:15 JST - INFO - 損失: Conv=32.400, Seq=46.918, Dist=0.011, 総計=79.328
2025-09-08 16:47:16 JST - INFO - 損失: Conv=29.563, Seq=44.638, Dist=0.018, 総計=74.219
2025-09-08 16:47:16 JST - INFO - 損失: Conv=40.283, Seq=62.080, Dist=0.022, 総計=102.384
2025-09-08 16:47:16 JST - INFO - 損失: Conv=42.821, Seq=64.632, Dist=0.024, 総計=107.477
2025-09-08 16:47:17 JST - INFO - 損失: Conv=32.477, Seq=47.913, Dist=0.028, 総計=80.418
2025-09-08 16:47:17 JST - INFO - 損失: Conv=38.394, Seq=57.328, Dist=0.026, 総計=95.748
2025-09-08 16:47:18 JST - INFO - 損失: Conv=30.050, Seq=42.801, Dist=0.012, 総計=72.863
2025-09-08 16:47:18 JST - INFO - 損失: Conv=33.653, Seq=49.405, Dist=0.033, 総計=83.091
